Mars solar minimum

Z: altitude (km)
TN,TI,TE: temperature (K)
SZA=44 deg
----------------------------------

  Z      TN        TI        TE   
1440 1.980E+02 4.450E+03 3.660E+03
1444 1.980E+02 4.450E+03 3.660E+03
1448 1.980E+02 4.450E+03 3.660E+03
1452 1.980E+02 4.450E+03 3.660E+03
1456 1.980E+02 4.450E+03 3.660E+03
1460 1.980E+02 4.450E+03 3.660E+03
1464 1.980E+02 4.450E+03 3.660E+03
1468 1.980E+02 4.450E+03 3.660E+03
1472 1.980E+02 4.450E+03 3.660E+03
1476 1.980E+02 4.450E+03 3.660E+03
1480 1.980E+02 4.450E+03 3.660E+03
1484 1.980E+02 4.450E+03 3.660E+03
1488 1.980E+02 4.450E+03 3.660E+03
1492 1.980E+02 4.450E+03 3.660E+03
1496 1.980E+02 4.450E+03 3.660E+03
1500 1.980E+02 4.450E+03 3.660E+03
1504 1.980E+02 4.450E+03 3.660E+03
1508 1.980E+02 4.450E+03 3.660E+03
1512 1.980E+02 4.450E+03 3.660E+03
1516 1.980E+02 4.450E+03 3.660E+03
1520 1.980E+02 4.450E+03 3.660E+03
1524 1.980E+02 4.450E+03 3.660E+03
1528 1.980E+02 4.450E+03 3.660E+03
1532 1.980E+02 4.450E+03 3.660E+03
1536 1.980E+02 4.450E+03 3.660E+03
1540 1.980E+02 4.450E+03 3.660E+03
1544 1.980E+02 4.450E+03 3.660E+03
1548 1.980E+02 4.450E+03 3.660E+03
1552 1.980E+02 4.450E+03 3.660E+03
1556 1.980E+02 4.450E+03 3.660E+03
1560 1.980E+02 4.450E+03 3.660E+03
1564 1.980E+02 4.450E+03 3.660E+03
1568 1.980E+02 4.450E+03 3.660E+03
1572 1.980E+02 4.450E+03 3.660E+03
1576 1.980E+02 4.450E+03 3.660E+03
1580 1.980E+02 4.450E+03 3.660E+03
1584 1.980E+02 4.450E+03 3.660E+03
1588 1.980E+02 4.450E+03 3.660E+03
1592 1.980E+02 4.450E+03 3.660E+03
1596 1.980E+02 4.450E+03 3.660E+03
1600 1.980E+02 4.450E+03 3.660E+03
1604 1.980E+02 4.450E+03 3.660E+03
1608 1.980E+02 4.450E+03 3.660E+03
1612 1.980E+02 4.450E+03 3.660E+03
1616 1.980E+02 4.450E+03 3.660E+03
1620 1.980E+02 4.450E+03 3.660E+03
1624 1.980E+02 4.450E+03 3.660E+03
1628 1.980E+02 4.450E+03 3.660E+03
1632 1.980E+02 4.450E+03 3.660E+03
1636 1.980E+02 4.450E+03 3.660E+03
1640 1.980E+02 4.450E+03 3.660E+03
1644 1.980E+02 4.450E+03 3.660E+03
1648 1.980E+02 4.450E+03 3.660E+03
1652 1.980E+02 4.450E+03 3.660E+03
1656 1.980E+02 4.450E+03 3.660E+03
1660 1.980E+02 4.450E+03 3.660E+03
1664 1.980E+02 4.450E+03 3.660E+03
1668 1.980E+02 4.450E+03 3.660E+03
1672 1.980E+02 4.450E+03 3.660E+03
1676 1.980E+02 4.450E+03 3.660E+03
1680 1.980E+02 4.450E+03 3.660E+03
1684 1.980E+02 4.450E+03 3.660E+03
1688 1.980E+02 4.450E+03 3.660E+03
1692 1.980E+02 4.450E+03 3.660E+03
1696 1.980E+02 4.450E+03 3.660E+03
1700 1.980E+02 4.450E+03 3.660E+03
1704 1.980E+02 4.450E+03 3.660E+03
1708 1.980E+02 4.450E+03 3.660E+03
1712 1.980E+02 4.450E+03 3.660E+03
1716 1.980E+02 4.450E+03 3.660E+03
1720 1.980E+02 4.450E+03 3.660E+03
1724 1.980E+02 4.450E+03 3.660E+03
1728 1.980E+02 4.450E+03 3.660E+03
1732 1.980E+02 4.450E+03 3.660E+03
1736 1.980E+02 4.450E+03 3.660E+03
1740 1.980E+02 4.450E+03 3.660E+03
1744 1.980E+02 4.450E+03 3.660E+03
1748 1.980E+02 4.450E+03 3.660E+03
1752 1.980E+02 4.450E+03 3.660E+03
1756 1.980E+02 4.450E+03 3.660E+03
1760 1.980E+02 4.450E+03 3.660E+03
1764 1.980E+02 4.450E+03 3.660E+03
1768 1.980E+02 4.450E+03 3.660E+03
1772 1.980E+02 4.450E+03 3.660E+03
1776 1.980E+02 4.450E+03 3.660E+03
1780 1.980E+02 4.450E+03 3.660E+03
1784 1.980E+02 4.450E+03 3.660E+03
1788 1.980E+02 4.450E+03 3.660E+03
1792 1.980E+02 4.450E+03 3.660E+03
1796 1.980E+02 4.450E+03 3.660E+03
1800 1.980E+02 4.450E+03 3.660E+03
1804 1.980E+02 4.450E+03 3.660E+03
1808 1.980E+02 4.450E+03 3.660E+03
1812 1.980E+02 4.450E+03 3.660E+03
1816 1.980E+02 4.450E+03 3.660E+03
1820 1.980E+02 4.450E+03 3.660E+03
1824 1.980E+02 4.450E+03 3.660E+03
1828 1.980E+02 4.450E+03 3.660E+03
1832 1.980E+02 4.450E+03 3.660E+03
1836 1.980E+02 4.450E+03 3.660E+03
1840 1.980E+02 4.450E+03 3.660E+03
1844 1.980E+02 4.450E+03 3.660E+03
1848 1.980E+02 4.450E+03 3.660E+03
1852 1.980E+02 4.450E+03 3.660E+03
1856 1.980E+02 4.450E+03 3.660E+03
1860 1.980E+02 4.450E+03 3.660E+03
1864 1.980E+02 4.450E+03 3.660E+03
1868 1.980E+02 4.450E+03 3.660E+03
1872 1.980E+02 4.450E+03 3.660E+03
1876 1.980E+02 4.450E+03 3.660E+03
1880 1.980E+02 4.450E+03 3.660E+03
1884 1.980E+02 4.450E+03 3.660E+03
1888 1.980E+02 4.450E+03 3.660E+03
1892 1.980E+02 4.450E+03 3.660E+03
1896 1.980E+02 4.450E+03 3.660E+03
1900 1.980E+02 4.450E+03 3.660E+03
1904 1.980E+02 4.450E+03 3.660E+03
1908 1.980E+02 4.450E+03 3.660E+03
1912 1.980E+02 4.450E+03 3.660E+03
1916 1.980E+02 4.450E+03 3.660E+03
1920 1.980E+02 4.450E+03 3.660E+03
1924 1.980E+02 4.450E+03 3.660E+03
1928 1.980E+02 4.450E+03 3.660E+03
1932 1.980E+02 4.450E+03 3.660E+03
1936 1.980E+02 4.450E+03 3.660E+03
1940 1.980E+02 4.450E+03 3.660E+03
1944 1.980E+02 4.450E+03 3.660E+03
1948 1.980E+02 4.450E+03 3.660E+03
1952 1.980E+02 4.450E+03 3.660E+03
1956 1.980E+02 4.450E+03 3.660E+03
1960 1.980E+02 4.450E+03 3.660E+03
1964 1.980E+02 4.450E+03 3.660E+03
1968 1.980E+02 4.450E+03 3.660E+03
1972 1.980E+02 4.450E+03 3.660E+03
1976 1.980E+02 4.450E+03 3.660E+03
1980 1.980E+02 4.450E+03 3.660E+03
1984 1.980E+02 4.450E+03 3.660E+03
1988 1.980E+02 4.450E+03 3.660E+03
1992 1.980E+02 4.450E+03 3.660E+03
1996 1.980E+02 4.450E+03 3.660E+03
2000 1.980E+02 4.450E+03 3.660E+03
