Mars solar minimum

Z: altitude (km)
CO2,N2,O,H,hotO: number density (cm-3)
SZA=44 deg
------------------------------------------------------

  Z     CO2        N2         O         H      hotO   
1372 7.690E-33 9.558E-19 1.515E-07 2.705E+04 4.804E+02
1376 5.666E-33 7.869E-19 1.355E-07 2.697E+04 4.784E+02
1380 4.174E-33 6.478E-19 1.213E-07 2.689E+04 4.764E+02
1384 3.075E-33 5.334E-19 1.085E-07 2.681E+04 4.744E+02
1388 2.266E-33 4.391E-19 9.710E-08 2.673E+04 4.724E+02
1392 1.669E-33 3.615E-19 8.688E-08 2.665E+04 4.704E+02
1396 1.230E-33 2.976E-19 7.774E-08 2.657E+04 4.685E+02
1400 9.060E-34 2.450E-19 6.956E-08 2.649E+04 4.665E+02
1404 6.675E-34 2.017E-19 6.224E-08 2.641E+04 4.645E+02
1408 4.918E-34 1.661E-19 5.569E-08 2.633E+04 4.626E+02
1412 3.623E-34 1.367E-19 4.983E-08 2.625E+04 4.607E+02
1416 2.669E-34 1.126E-19 4.459E-08 2.617E+04 4.587E+02
1420 1.966E-34 9.267E-20 3.990E-08 2.609E+04 4.568E+02
1424 1.449E-34 7.630E-20 3.570E-08 2.601E+04 4.549E+02
1428 1.067E-34 6.281E-20 3.194E-08 2.594E+04 4.530E+02
1432 7.864E-35 5.171E-20 2.858E-08 2.586E+04 4.511E+02
1436 5.794E-35 4.258E-20 2.558E-08 2.578E+04 4.492E+02
1440 4.268E-35 3.505E-20 2.288E-08 2.570E+04 4.473E+02
1444 3.145E-35 2.886E-20 2.048E-08 2.563E+04 4.454E+02
1448 2.317E-35 2.376E-20 1.832E-08 2.555E+04 4.436E+02
1452 1.707E-35 1.956E-20 1.639E-08 2.547E+04 4.417E+02
1456 1.258E-35 1.610E-20 1.467E-08 2.540E+04 4.399E+02
1460 9.265E-36 1.326E-20 1.313E-08 2.532E+04 4.380E+02
1464 6.826E-36 1.091E-20 1.175E-08 2.524E+04 4.362E+02
1468 5.029E-36 8.986E-21 1.051E-08 2.517E+04 4.344E+02
1472 3.705E-36 7.398E-21 9.404E-09 2.509E+04 4.325E+02
1476 2.729E-36 6.090E-21 8.414E-09 2.502E+04 4.307E+02
1480 2.011E-36 5.014E-21 7.529E-09 2.494E+04 4.289E+02
1484 1.482E-36 4.128E-21 6.737E-09 2.487E+04 4.271E+02
1488 1.091E-36 3.399E-21 6.028E-09 2.479E+04 4.253E+02
1492 8.041E-37 2.798E-21 5.394E-09 2.472E+04 4.235E+02
1496 5.924E-37 2.304E-21 4.826E-09 2.464E+04 4.218E+02
1500 4.365E-37 1.896E-21 4.318E-09 2.457E+04 4.200E+02
1504 3.216E-37 1.561E-21 3.864E-09 2.449E+04 4.189E+02
1508 2.369E-37 1.285E-21 3.457E-09 2.442E+04 4.177E+02
1512 1.745E-37 1.058E-21 3.094E-09 2.435E+04 4.166E+02
1516 1.286E-37 8.713E-22 2.768E-09 2.427E+04 4.155E+02
1520 9.474E-38 7.173E-22 2.477E-09 2.420E+04 4.144E+02
1524 6.980E-38 5.905E-22 2.216E-09 2.413E+04 4.133E+02
